book,projection_id,graded_at,actual,maps_played,result_open,result_current,source
prizepicks,15199439,2026-09-25T15:32:28+00:00,8.0,3,under,under,player_games
prizepicks,15199440,2026-09-25T15:32:28+00:00,6.0,3,under,under,player_games
prizepicks,15199441,2026-09-25T15:32:28+00:00,4.0,3,push,push,player_games
prizepicks,15199442,2026-09-25T15:32:28+00:00,7.0,3,over,over,player_games
prizepicks,15199443,2026-09-25T15:32:28+00:00,22.0,3,over,over,player_games
prizepicks,15199444,2026-09-25T15:32:28+00:00,15.0,3,under,under,player_games
prizepicks,15199445,2026-09-25T15:32:28+00:00,5.0,3,under,under,player_games
prizepicks,15199446,2026-09-25T15:32:28+00:00,2.0,3,under,under,player_games
prizepicks,15199447,2026-09-25T15:32:28+00:00,3.0,3,under,under,player_games
prizepicks,15199448,2026-09-25T15:32:28+00:00,20.0,3,over,over,player_games
prizepicks,15199449,2026-09-25T15:32:28+00:00,25.0,3,over,over,player_games
prizepicks,15199450,2026-09-25T15:32:28+00:00,11.0,3,over,over,player_games
prizepicks,15199451,2026-09-25T15:32:28+00:00,10.0,3,over,over,player_games
prizepicks,15199452,2026-09-25T15:32:28+00:00,7.0,3,over,over,player_games
prizepicks,15199453,2026-09-25T15:32:28+00:00,9.0,3,under,under,player_games
prizepicks,15199454,2026-09-25T15:32:28+00:00,25.0,3,over,over,player_games
prizepicks,15199455,2026-09-25T15:32:28+00:00,10.0,3,under,under,player_games
prizepicks,15199456,2026-09-25T15:32:28+00:00,4.0,3,under,under,player_games
prizepicks,15199457,2026-09-25T15:32:28+00:00,3.0,3,under,under,player_games
prizepicks,15213032,2026-09-25T15:32:48+00:00,24.0,3,under,under,player_games
prizepicks,15213034,2026-09-25T15:32:48+00:00,40.0,3,over,over,player_games
prizepicks,15213035,2026-09-25T15:32:48+00:00,37.0,3,over,over,player_games
prizepicks,15213036,2026-09-25T15:32:48+00:00,25.0,3,under,under,player_games
prizepicks,15213037,2026-09-25T15:32:48+00:00,22.0,3,under,under,player_games
prizepicks,15213039,2026-09-25T15:32:48+00:00,31.0,3,over,over,player_games
prizepicks,15213040,2026-09-25T15:32:48+00:00,22.0,3,under,under,player_games
prizepicks,15213041,2026-09-25T15:32:48+00:00,40.0,3,over,over,player_games
prizepicks,15213042,2026-09-25T15:32:48+00:00,13.0,3,under,under,player_games
prizepicks,15213044,2026-09-25T15:32:48+00:00,27.0,3,over,over,player_games
prizepicks,15213045,2026-09-25T15:32:48+00:00,23.0,3,over,over,player_games
prizepicks,15213046,2026-09-25T15:32:48+00:00,14.0,3,under,under,player_games
prizepicks,15213047,2026-09-25T15:32:48+00:00,1.0,3,under,under,player_games
prizepicks,15213049,2026-09-25T15:32:48+00:00,20.0,3,over,over,player_games
